"ПАО ""АНК ""Башнефть"" об. 06",RU000A0JTM28,,38.39,,,,,,38.39,,,,,,38.39,,,,,,38.39,,,,,,38.39,,,,,,,,,,,,,,,,,,,,,,,
"ПАО ""АНК ""Башнефть"" об. 07",RU000A0JTM36,,31.41,,,,,,31.41,,,,,,31.41,,,,,,31.41,,,,,,31.41,,,,,,,,,,,,,,,,,,,,,,,
"ПАО ""АНК ""Башнефть"" об. 08",RU000A0JTM44,,38.39,,,,,,38.39,,,,,,38.39,,,,,,38.39,,,,,,38.39,,,,,,,,,,,,,,,,,,,,,,,
"ПАО ""АНК ""Башнефть"" об. 09",RU000A0JTM51,,31.41,,,,,,31.41,,,,,,31.41,,,,,,31.41,,,,,,31.41,,,,,,,,,,,,,,,,,,,,,,,
РусГидро (ПАО) 07,RU000A0JTMG7,,0.50,,,,,,0.50,,,,,,0.50,,,,,,0.50,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,
РусГидро (ПАО) 08,RU000A0JTMK9,,0.50,,,,,,0.50,,,,,,0.50,,,,,,0.50,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,
ПАО НК Роснефть обл.07,RU000A0JTS06,,,36.40,,,,,,36.40,,,,,,36.40,,,,,,36.40,,,,,,36.40,,,,,,,,,,,,,,,,,,,,,,
ПАО НК Роснефть обл.08,RU000A0JTS22,,,36.40,,,,,,36.40,,,,,,36.40,,,,,,36.40,,,,,,36.40,,,,,,,,,,,,,,,,,,,,,,
Мобильные ТелеСистемы ПАО БО-1,RU000A0JTTA5,,,32.41,,,,,,32.41,,,,,,32.41,,,,,,32.41,,,,,,32.41,,,,,,,,,,,,,,,,,,,,,,
"""Российские ЖД"" ОАО 28 обл.",RU000A0JTU85,,,37.90,,,,,,37.90,,,,,,37.90,,,,,,37.90,,,,,,37.90,,,,,,37.90,,,,,,37.90,,,,,,37.90,,,,
Об.Кондитеры-Фин.ООО БО-01,RU000A0JTV50,,,,39.89,,,,,,39.89,,,,,,39.89,,,,,,39.89,,,,,,39.89,,,,,,,,,,,,,,,,,,,,,
"""Россельхозбанк"" (АО) обл.20",RU000A0JTVJ2,,,,41.39,,,,,,41.39,,,,,,41.39,,,,,,41.39,,,,,,41.39,,,,,,,,,,,,,,,,,,,,,
ДОМ.РФ (АО) обл. сер.А25,RU000A0JTW83,,,,11.59,,,11.59,,,11.59,,,11.59,,,11.59,,,11.59,,,11.59,,,11.59,,,11.59,,,11.59,,,11.59,,,11.59,,,11.59,,,11.59,,,11.59,,,11.59
Верхбак цемент завод ОАО 1об.,RU000A0JTWT9,,1.25,,,1.25,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
